release_date,title,main_director,soup
1999-09-27,Three Kings,davido.russell,gold gulfwar threek iraq kuwait rescu interracialrelationship treasuremap soldier u.s.soldi goldtheft persiangulf emergencysurgeri minefield georgeclooney markwahlberg icecube davido.russell action adventure comedy
2010-06-04,Marmaduke,tomdey, owenwilson emmastone georgelopez tomdey family comedy
2005-10-27,The Big White,markmylod,kidnap hitman businessman insurancefraud murder alaska darkcomedi tourettesyndrom lifeinsur insur insuranceag robinwilliams hollyhunter timblakenelson markmylod comedy crime drama
2001-03-13,Exit Wounds,andrzejbartkowiak,corrupt scandal shadow polic stevenseagal dmx isaiahwashington andrzejbartkowiak action crime thriller
1991-02-07,Armour of God II: Operation Condor,jackiechan,gold nazi wilder treasurehunt jackiechan carolcheng evacobo jackiechan action adventure crime thriller
2008-09-24,Paris 36,christophebarratier, gérardjugnot cloviscornillac kadmerad christophebarratier drama
2008-12-19,Revolutionary Road,sammendes,adulteri jealousi infidel career marriagecrisi connecticut leonardodicaprio katewinslet michaelshannon sammendes drama romance
2013-04-03,Adore,annefontaine,lover womandirector naomiwatts robinwright xaviersamuel annefontaine drama
2009-01-01,Wrong Turn 3: Left for Dead,declano'brien,cannib tomfrederic janetmontgomery louisecliffe declano'brien horror thriller
2014-06-12,How to Train Your Dragon 2,deandeblois,fathersonrelationship wifehusbandrelationship sacrific vike sequel rescu dragon mothersonrelationship deathofhusband warrior 3d jaybaruchel gerardbutler kristenwiig deandeblois fantasy action adventure animation comedy family
2007-04-27,The Condemned,scottwiper,island chase survivor death steveaustin vinniejones robertmammone scottwiper action thriller
2014-09-13,Rurouni Kenshin: The Legend Ends,keishiohtomo,samurai basedonmanga samuraisword samuraiera meijiperiod takerusatoh emitakei munetakaaoki keishiohtomo action adventure drama
1981-12-04,On Golden Pond,markrydell,son daughter motherdaughterrelationship familyholiday familyconflict katharinehepburn henryfonda janefonda markrydell drama
1985-06-01,Ran,akirakurosawa,assassin gun castl power kingdom greed heirtothethron epic reveng blood descentintomad seppuku inheritancefight ruin musket feudaljapan blackwidow hopeless shakespeare'skinglear akiraterao jinpachinezu daisukeryû akirakurosawa action drama history
2000-09-19,Urban Legends: Final Cut,johnottman,filmmak highschool sequel serialkil slasher aftercreditssting jennifermorrison matthewdavis lorettadevine johnottman horror
2004-01-07,Who's Your Daddy?,andyfickman,sex brandonjackjames colleencamp kadeemhardison andyfickman comedy
2004-04-07,The Alamo,johnleehancock,texa offic upris alamo mexican dennisquaid billybobthornton jasonpatric johnleehancock western history war
2017-01-12,Sleepless,baranboodar,robberi kidnap organizedcrim undercovercop mobster gangster lasvega corruptcop jamiefoxx michellemonaghan dermotmulroney baranboodar action crime thriller
2009-01-15,Elsewhere,nathanhope,corrupt waitress secret smalltown dream kidnap nightmar investig parti murder disappear internet journal onlined annakendrick paulwesley taniaraymonde nathanhope crime drama thriller
1998-05-01,Les Misérables,billeaugust,falselyaccus prison blackmail frenchrevolut motherlylov liamneeson geoffreyrush umathurman billeaugust crime drama history romance
2017-03-23,CHiPS,daxshepard,polic basedontvseri losangel buddycop corruptcop michaelpeña daxshepard jessicamcnamee daxshepard action comedy crime
2016-07-07,Mike and Dave Need Wedding Dates,jakeszymanski,hawaii wed weddingd zacefron adamdevine annakendrick jakeszymanski comedy
2008-02-15,Jodhaa Akbar,ashutoshgowariker,wifehusbandrelationship emperor hindu marriagecrisi epic swordfight domineeringmoth mughalempir rajputprincess marriageofalli 16thcenturi loveaftermarriag hindumuslimconflict hrithikroshan aishwaryaraibachchan sonusood ashutoshgowariker action adventure drama history romance
1997-10-03,Kiss the Girls,garyfleder,washingtond.c. coveredinvestig investig northcarolina missingperson morganfreeman ashleyjudd caryelwes garyfleder drama mystery thriller crime
2007-10-25,Saw IV,darrenlynnbousman,ice victim pain game psychopath blood electricchair doctor tortur violenc policeoffic fbiagent femalecorps tobinbell scottpatterson costasmandylor darrenlynnbousman horror thriller crime
1996-08-09,Escape from L.A.,johncarpenter,prison usapresid earthquak dystopia attempttoescap losangel reluctanthero kurtrussell stacykeach stevebuscemi johncarpenter action adventure sciencefiction thriller
2014-02-07,Vampire Academy,markwaters,narrat vampir halfvampir dangeroflif royalfamili friendship superhuman guardian superpow basedonyoungadultnovel zoeydeutch lucyfry danilakozlovsky markwaters comedy action fantasy
1993-11-05,The Remains of the Day,jamesivory,newspap butler countryhous loyalti flower nazi jewish britain housekeep employ anthonyhopkins emmathompson jamesfox jamesivory drama romance
2005-07-22,The Devil's Rejects,robzombie,sadist kill fire sheriff bountyhunt cocain motel ax sadism psychopath roadtrip sequel murder rampag antisocialpersonalitydisord serialkil shootout tortur corps sadist extremeviol brutal maniac violenc stab killingspre heldatgunpoint cultfilm roadkil macabr misogynist roadmovi killerclown paintedfac evilclown homicidalmaniac sadistichorror sidhaig billmoseley sherimoonzombie robzombie drama horror crime
1989-07-29,Kiki's Delivery Service,hayaomiyazaki,clocktow witch cat bicycleaccid broom femalefriendship bakeri dog bake seasidetown talkingcat courierservic deliveryservic anim minamitakayama reisakuma kappeiyamaguchi hayaomiyazaki animation adventure drama fantasy
1992-09-02,Reservoir Dogs,quentintarantino,traitor jewelri psychopath thief heist betray mysteri escap gang plangonewrong warehous ensemblecast allmalecast toldinflashback heistgonewrong foreshadow rendezv icon setinoneroom uneasyalli ragtaggroup harveykeitel timroth michaelmadsen quentintarantino crime thriller
1995-05-14,The Langoliers,tomholland,suspens miniseri airplanetrip telekenesi patriciawettig deanstockwell davidmorse tomholland drama horror sciencefiction mystery thriller
2015-01-16,The Wedding Ringer,jeremygarelick,malefriendship imperson wed lie bestman kevinhart joshgad kaleycuoco jeremygarelick comedy
2017-05-25,Berlin Syndrome,cateshortland,berlin stockholmsyndrom basedonnovel hostag photojournalist womandirector teresapalmer maxriemelt matthiashabich cateshortland mystery thriller drama horror
2014-02-18,Pompeii,paulw.s.anderson,gladiat arena gladiatorfight lava roman forbiddenlov naturaldisast epic disast slave towninpan vulcan volcanicerupt pompeii 3d kitharington carrie-annemoss emilybrowning paulw.s.anderson action adventure history romance drama
2011-10-17,My Week with Marilyn,simoncurtis,basedonnovel biographi historicalfigur marilynmonro michellewilliams eddieredmayne kennethbranagh simoncurtis drama
1996-08-15,The Fan,tonyscott,sport luck sanfranciscogi childcustodi baseballpitch baseballfan psychoticfan sportsag drivingrang steamroom robertdeniro wesleysnipes ellenbarkin tonyscott drama mystery thriller
1997-02-27,Donnie Brasco,mikenewell,undercov colombia mafia mobster dirtycop inform stealingmoney marriagecounselor shavingcream playingcard johnnydepp alpacino michaelmadsen mikenewell crime drama thriller
2005-11-30,Æon Flux,karynkusama,martialart dystopia surreal basedoncartoon shootout espionag infertil cyberpunk extremeviol sabotag oneagainstmani womandirector handtohandcombat actionheroin humanclon 25thcenturi charlizetheron martoncsokas jonnyleemiller karynkusama action sciencefiction
1994-12-16,Legends of the Fall,edwardzwick,brotherbrotherrelationship montana basedonnovel worldwari journeyroundtheworld bradpitt anthonyhopkins aidanquinn edwardzwick adventure drama romance war
1932-12-22,The Mummy,karlfreund,egypt virgin museum mummi incant reincarn resurrect buriedal excav tranc goddess sorcer african classichorror priestess eternallov archeologist condemnedman buriedtomb ancientcurs ancientscrol boriskarloff zitajohann davidmanners karlfreund horror
2016-08-10,Pete's Dragon,davidlowery,feralchild remak dragon orphan 1980 liveactionandanim brycedallashoward oakesfegley wesbentley davidlowery adventure family fantasy
1987-06-29,The Living Daylights,johnglen,londonengland smugglingofarm prison england assassin spi falselyaccus secretident countryest armsdeal russia drugtraff secretmiss secretintelligenceservic kgb villain renegad specialcar tangiermorocco bigwheel pipelin cello orchestra freedomfight czechoslovakia bratislava afghanistan airplan schlossschönbrunn escap moscow vienna timothydalton maryamd'abo jeroenkrabbé johnglen action adventure thriller
2012-09-11,Disconnect,henryalexrubin,technolog relationshipproblem internet cellphon gesellschaft jasonbateman hopedavis frankgrillo henryalexrubin drama thriller
2016-05-13,The Darkness,gregmclean,selfsacrific snake autism bulimia hauntedhous grandcanyon haunt cheatinghusband demon dog dogattack nativeamericanfolklor cursedobject portaltohel kevinbacon radhamitchell davidmazouz gregmclean horror thriller
2010-06-07,Black Death,christophersmith,inquisit monk witch villag battlefield knight necromanc middleag pagan persecut mediev seanbean eddieredmayne caricevanhouten christophersmith drama horror action thriller mystery
2006-09-28,Rob-B-Hood,bennychan,kidnap jackiechan louiskoo michaelhui bennychan drama action comedy
1981-09-23,Rich and Famous,georgecukor,roommat friendship jacquelinebisset candicebergen davidselby georgecukor drama
1981-09-23,Rich and Famous,georgecukor,roommat friendship jacquelinebisset candicebergen davidselby georgecukor drama
1981-09-23,Rich and Famous,georgecukor,roommat friendship jacquelinebisset candicebergen davidselby georgecukor drama
1981-09-23,Rich and Famous,georgecukor,roommat friendship jacquelinebisset candicebergen davidselby georgecukor drama
2010-03-20,TEKKEN,dwighth.little,martialart dystopia basedonvideogam martialartstourna jonfoo kellyoverton cary-hiroyukitagawa dwighth.little crime drama action thriller sciencefiction
2013-04-05,All Things To All Men,georgeisaac,londonengland corrupt crimedrama tobystephens rufussewell gabrielbyrne georgeisaac thriller crime
1997-07-25,Air Force One,wolfgangpetersen,prison corrupt journalist whitehous hostag ultimatum hostage-tak airforceon airplanehijack aerialcombat conspiraci gunfight fighterairplan secretservic americanpresid handtohandcombat negoti politicalprison harrisonford garyoldman glennclose wolfgangpetersen action thriller
1986-05-09,Short Circuit,johnbadham,artificialintellig lightn robot allysheedy steveguttenberg fisherstevens johnbadham comedy family sciencefiction
2011-03-03,Ironclad,jonathanenglish,ambush hero fight castl battlefield duel king orderofthetemplar jamespurefoy katemara jasonflemyng jonathanenglish romance adventure action history
1988-09-13,Cocoon: The Return,danielpetrie,return pregnant shapeshiftingalien pregnantwoman expectantfath expectantmoth pregnantwif shapeshift cocoon seniorcitizen humanalien humanform icecreamsunda wifeandhusbandleadactor donameche wilfordbrimley courteneycox danielpetrie comedy drama sciencefiction
2014-08-15,Force Majeure,rubenöstlund,femalenud darkcomedi familyvac avalanch runningaway swedish near-deathexperi frenchalp psychodrama husbandwiferelationship vacationgonewrong skiholiday swedishfamili lisalovenkongsli johannesbahkuhnke clarawettergren rubenöstlund comedy drama
2014-08-15,Force Majeure,rubenöstlund,femalenud darkcomedi familyvac avalanch runningaway swedish near-deathexperi frenchalp psychodrama husbandwiferelationship vacationgonewrong skiholiday swedishfamili lisalovenkongsli johannesbahkuhnke clarawettergren rubenöstlund comedy drama
2014-08-15,Force Majeure,rubenöstlund,femalenud darkcomedi familyvac avalanch runningaway swedish near-deathexperi frenchalp psychodrama husbandwiferelationship vacationgonewrong skiholiday swedishfamili lisalovenkongsli johannesbahkuhnke clarawettergren rubenöstlund comedy drama
2014-08-15,Force Majeure,rubenöstlund,femalenud darkcomedi familyvac avalanch runningaway swedish near-deathexperi frenchalp psychodrama husbandwiferelationship vacationgonewrong skiholiday swedishfamili lisalovenkongsli johannesbahkuhnke clarawettergren rubenöstlund comedy drama
2014-08-15,Force Majeure,rubenöstlund,femalenud darkcomedi familyvac avalanch runningaway swedish near-deathexperi frenchalp psychodrama husbandwiferelationship vacationgonewrong skiholiday swedishfamili lisalovenkongsli johannesbahkuhnke clarawettergren rubenöstlund comedy drama
2014-08-15,Force Majeure,rubenöstlund,femalenud darkcomedi familyvac avalanch runningaway swedish near-deathexperi frenchalp psychodrama husbandwiferelationship vacationgonewrong skiholiday swedishfamili lisalovenkongsli johannesbahkuhnke clarawettergren rubenöstlund comedy drama
2014-08-15,Force Majeure,rubenöstlund,femalenud darkcomedi familyvac avalanch runningaway swedish near-deathexperi frenchalp psychodrama husbandwiferelationship vacationgonewrong skiholiday swedishfamili lisalovenkongsli johannesbahkuhnke clarawettergren rubenöstlund comedy drama
2014-08-15,Force Majeure,rubenöstlund,femalenud darkcomedi familyvac avalanch runningaway swedish near-deathexperi frenchalp psychodrama husbandwiferelationship vacationgonewrong skiholiday swedishfamili lisalovenkongsli johannesbahkuhnke clarawettergren rubenöstlund comedy drama
